0,Abbey of Bermondſey,Bermondsey Abbey,BERM3, ,Abbey of Bermondſey | Barmondſey | Barmondsey | Beremondſey | Bermonds Eye | Bermonds Eye in Southwarke | Bermondſey | Bermondsey | Bermondsey Abbey | Bermondsey monastery | manor of Bermondſey | Monaſtery of Bermondſey | Priorie of Barmondſey | Pryorie of Bermondſey,Churches
1,Abbey of Nunnes,Abbey of St. Clare,ABBE1,Agas Map,Abbey of Nunnes | Abbey of Nunnes of the order of Saynt | Abbey of Saint Clare | Abbey of St. Clare | Minories,Churches
5,Abbey of St. Mary Graces,Abbey of St. Mary Graces,ABBE2,Agas Map,Abbey of St. Mary Graces | Eastminster | New Abbey | new Abbey | New Church Haw | newe Abbey | St. Mary Graces Abbey,Churches
6,Abbie church of Weſtminſter,Westminster Abbey,WEST1,Agas Map,Abbie church of Weſtminſter | Apoſtle S. Peter of Weſtminſter | Chappell of our Ladie | Chapter houſe | Collegiat church of Weſtm | Monaſterie of S. Peter at VVeſtminſter | Monaſterie of Weſtminſter | old Lady chappel | our Ladies Chappell | S. Peter at weſtminſter | S. Peter of Weſtminſter | S. Peter the holy Apoſtle at Weſtminſter | S. Peters at Weſtminſter | VVeſtminſter | Weſminſter | Weſt minſter | Weſtminſter | Westminster | Westminster Abbey,Churches
7,Abbot of Auguſtins Inne,St. Augustine Inn,STAU1,Agas Map,Abbot of Auguſtins Inne | Abbot of S. Auguſtine his houſe | Abbots Inn of St. Augustine | Abbots Inne of S. Auguſtine in Southwarke | church of Saint Auguſtine,Sites
8,"Abbot of Bery his Inne, Beuis Markes",Bevis Marks (Street),BEVI1,Agas Map,"Abbot of Bery his Inne, Beuis Markes | Beavis Marks | Beuis Markes | Bevesmarkes | Bevis Marks | Buries marke | Buries Marke | Buries Markes | Buries markes | Buries marks | Inn of the Abbot of BUry St Edmunds",Streets
9,Abbot of S. Albones his Inne,Abbot of St. Alban’s Inn,ALBO1, ,Abbot of S. Albones his Inne,Victualling Houses
13,Abchurch,Abchurch Lane,ABCH1,Agas Map,Abchurch | Abchurch lane | Abchurch Lane | Abchurch-lane | Abchurche lane | Apechurch | Upchurch | Vpchurch,Streets
18,Abergavenny House,Pembroke’s Inn,PEMB5, ,Abergavenny House | Bergarvenny House | Brittany Inn | Burgaueny houſe | Pembrookes Inne | Pembrook’s Inn,Sites
19,Addle Hill,Addle Hill,ADDL1,Agas Map,Addle Hill | Addle-Hill | Adleſtreete | Adleſtréet | Adleſtréete | Athelingestrate | Athelyngstrete,Streets
20,Addle Lane,Addle Street,ADDL2,Agas Map,Addle Lane | Addle Street | Addle-Street | Addleſtreete | Adle Street | Adleſtreete,Streets
30,Aetheling,Noble Street,NOBL1,Agas Map,Aetheling | Atheling | Noble Str. | Noble Street | Noble ſtreet | Noble ſtreete | Noble ſtréet | Noble ſtréete | Noble Stréete | Watchling ſtreete | Wathling ſtreete,Streets
31,Aetheredes hyd,Queenhithe,QUEE2,Agas Map,Aetheredes hyd | Edreds Hithe | Market at Quéene Hithe | Queen Hith | Queen Hithe | queen Hithe | Queen-hive | Queene hith | Queene Hithe | Queene-hive | Queenes hith | Queenes Hith | Queenes Hithe | Queenhith | Queenhithe | Quene Hithe | Quéene Hith | Quéene Hithe | Quéenes Banque | Quéenes Hith | Quéenes Hithe | Quéenes ſoke | Quéens bank | Ripa Reginæ,Riverside Features
